"FID","Area_Day_21","Area_Day_21_.MPH.","Area_Day_29","Area_Day_29_.MPH.","Area_Growth","Area_Growth_.MPH.","DTF","LTF","LTF_.MPH.","Perimeter_Day_21_.MPH.","Perimeter_Day_29","Perimeter_Day_29_.MPH.","Perimeter_Growth","Perimeter_Growth_.MPH.","Rosette_Diameter","Rosette_Diameter_.MPH.","Rosette_Dry_Mass_.MPH."
"C316",68.0296,-4.5774,48.2195,-2.2925,23.9115,-1.3533,3.6068,2.5145,0.0449,-0.7061,21.1685,-0.6849,12.0424,-0.9456,85.6276,18.3265,0.3188
"C317",72.8379,-6.0846,49.2766,-4.1967,24.2079,-2.5852,3.596,2.5331,0.0329,-0.9354,22.3475,-0.8174,13.2587,-1.0509,67.6057,-1.8583,-0.2816
"C318",72.5855,-1.911,49.8462,-3.1156,24.6289,-2.0076,3.6038,2.4892,-0.0669,-0.1064,22.8718,-0.3994,14.0936,-0.5999,77.9888,-10.8644,-0.16
"C319",72.6474,-8.0606,49.5804,-3.619,24.4404,-2.0967,3.5674,2.3188,0.0122,-1.5485,21.7296,-0.9201,12.4408,-1.0635,53.3834,-12.2345,-0.3522
"C320",55.4204,-35.1808,42.601,-8.4839,21.189,-4.226,3.6366,2.3581,-0.2313,-9.4661,19.4137,-3.0047,11.1597,-2.2419,54.5967,-13.3824,-0.6623
"C321",69.8666,-12.01,48.5984,-3.051,24.0103,-1.4845,3.6562,2.6132,0.0843,-2.8543,22.2214,-0.8979,13.4702,-0.6124,90.8832,10.542,0.1422
"C322",72.6936,0.8116,48.5788,-1.9007,23.6873,-1.3762,3.619,2.5415,0.0329,0.3336,22.764,-0.0698,13.7407,-0.1469,74.4672,-5.4975,-0.33
"C323",79.7343,12.6754,52.7262,0.8742,25.9782,0.0622,3.5672,2.3973,-0.1391,2.1847,24.2055,0.692,15.4834,0.5844,85.9424,2.5705,-0.5265
"C324",72.6855,-5.754,51.6372,-2.0541,25.8114,-1.1529,3.6616,2.6094,-0.0353,-1.1561,23.6672,-0.3664,15.1815,-0.306,106.2646,12.4379,-0.0232
"C326",72.6382,2.6798,47.7881,-2.1317,23.1339,-1.6278,3.6908,2.6704,0.0695,0.8909,22.0752,-0.2604,12.8086,-0.5702,52.1907,-26.6018,-0.0777
"C327",74.8622,-1.0752,53.2526,-0.3378,26.7336,-0.1763,3.6312,2.5889,-0.0157,0.2029,24.2279,0.0755,15.7035,0.0983,96.8915,5.3246,0.0615
"C328",69.4716,-13.6148,50.9974,-2.6862,25.6489,-1.2621,3.678,2.7834,0.2333,-2.9607,22.9616,-0.5938,14.6426,-0.2474,74.6097,-13.049,0.2865
"C329",73.372,-6.7138,51.0923,-2.7296,25.4174,-1.5401,3.6194,2.5245,0.0177,-1.0135,23.6833,-0.4357,15.0892,-0.3675,92.9473,8.6799,-0.0011
"C330",77.3479,1.4624,53.028,-0.3062,26.3778,-0.2759,3.5794,2.4786,0.0196,1.3298,24.3111,0.5324,15.6742,0.5102,74.1579,-13.1092,0.1607
"C331",74.9203,11.3098,50.8279,1.151,25.0755,0.2931,3.685,2.685,0.12,2.655,24.1028,1.0405,15.5822,0.9563,98.182,11.0177,0.5005
"C332",76.0317,7.5946,52.754,0.552,26.3175,0.0828,3.56,2.4496,-0.0264,1.8848,23.9695,0.409,15.4206,0.245,90.8951,0.6749,-0.0816
"C333",74.3957,-6.2614,49.1209,-4.4271,23.9186,-2.7829,3.5784,2.4064,0.0932,-1.8777,22.4426,-1.1611,13.3634,-1.2881,63.0626,-17.3587,-0.2078
"C335",87.4037,26.7708,58.029,7.812,28.9562,4.2692,3.5574,2.4889,0.1417,5.9949,24.9439,2.7209,16.017,2.9769,83.8036,22.4549,0.4692
"C336",76.0773,-0.4848,52.8532,-1.0126,26.3567,-0.6609,3.6016,2.5399,0.1532,-0.5989,22.8663,-0.4296,13.8762,-0.6637,72.9909,1.934,0.1332
"C337",82.5894,20.7612,56.753,4.5496,28.4703,2.2457,3.5276,2.386,0.0259,5.133,24.5318,1.4049,15.6247,1.0332,70.8744,0.279,0.1887
"C338",78.2612,13.4358,54.6321,4.2126,27.3842,2.2761,3.5234,2.4121,0.0575,2.8273,23.7053,1.0881,14.8379,0.9815,67.1499,2.7705,-0.0203
"C339",76.3081,5.1976,52.8887,0.63,26.3784,0.2219,3.6016,2.5621,0.0991,1.2589,23.6686,0.5312,14.9129,0.468,82.0002,7.1661,0.0041
"C340",73.5269,-2.2832,52.0801,1.6403,26.0338,1.2535,3.5398,2.4486,0.1562,-0.7725,22.6156,0.4026,13.7759,0.7925,57.2101,-1.6163,0.1112
"C341",76.4652,4.079,53.9488,1.6977,27.0702,0.967,3.6184,2.5459,0.1776,1.5301,23.202,0.5429,14.3166,0.4692,89.4763,20.8101,0.5301
"C342",79.2768,13.7738,55.065,3.3214,27.6163,1.7051,3.5026,2.2785,-0.0528,3.1371,24.4554,1.3185,16.0116,1.4117,76.886,-15.3008,-0.2098
"C343",72.5706,-4.61,50.9752,-1.4142,25.3919,-0.7578,3.5142,2.2224,-0.1027,-1.4965,22.3744,-0.8483,13.3661,-1.0481,44.884,-20.3909,-0.4425
"C344",81.7304,13.934,54.7118,2.8102,27.1617,1.3158,3.4902,2.1913,-0.086,3.3619,23.6888,0.8063,14.4552,0.3338,56.3802,-11.8944,-0.0707
"C345",77.9828,12.59,52.3873,0.858,25.9051,0.0764,3.5232,2.3159,-0.0584,3.6367,22.5167,0.1417,12.8871,-0.7639,53.646,-16.2147,-0.1774
"C346",83.395,21.7172,56.9717,5.0938,28.5564,2.5633,3.5834,2.5626,0.1816,5.7295,25.9781,2.649,17.6243,2.8262,93.8779,9.2137,0.3201
"C347",81.7903,28.7564,56.9992,8.7548,28.7105,4.7359,3.5076,2.2877,-0.0955,7.2661,25.0983,2.9323,16.4912,2.9079,91.8706,23.6988,0.057
"C348",79.8475,18.933,56.5142,5.7447,28.5078,3.081,3.5076,2.2412,-0.0532,4.1678,24.1836,1.5194,15.5238,1.3908,76.0385,4.8108,0.2031
"C349",83.2598,25.0252,56.0972,8.0812,27.9907,4.5144,3.6712,2.7547,0.2236,5.7196,24.6591,2.7029,15.8583,2.9906,78.3573,14.5085,0.7641
